Description	Resource	Path	Location	Type
Assignment to itself 'show=show'	animal.cpp	/Fassetv2.2.2impacts/source/livestock	line 186	Code Analysis Problem
Assignment to itself 'epot = epot'	climate.cpp	/Fassetv2.2.2impacts/source/base	line 693	Code Analysis Problem
Assignment to itself 'epot = epot'	climate.cpp	/Fassetv2.2.2impacts/source/base	line 767	Code Analysis Problem
Assignment to itself 'aWriteSoilTemperature=aWriteSoilTemperature'	systemData.h	/Fassetv2.2.2impacts/source/data	line 213	Code Analysis Problem
(cppcheck error) Unusual pointer arithmetic	price.cpp	/Fassetv2.2.2impacts/source/products	line 168	cppcheck Problem
(cppcheck error) Unusual pointer arithmetic	price.cpp	/Fassetv2.2.2impacts/source/products	line 173	cppcheck Problem
(cppcheck error) Uninitialized variable: CO2PhotEffect	crop.cpp	/Fassetv2.2.2impacts/source/fields/crops	line 1302	cppcheck Problem
(cppcheck error) Uninitialized variable: CO2PhotEffect	crop.cpp	/Fassetv2.2.2impacts/source/fields/crops	line 1903	cppcheck Problem
(cppcheck error) Resource leak: d	fileAccess.cpp	/Fassetv2.2.2impacts/source/tools	line 122	cppcheck Problem
(cppcheck error) Possible null pointer dereference: thePatches - otherwise it is redundant to check if thePatches is null at line 368	field.cpp	/Fassetv2.2.2impacts/source/fields	line 384	cppcheck Problem
(cppcheck error) Possible null pointer dereference: thePatches - otherwise it is redundant to check if thePatches is null at line 368	field.cpp	/Fassetv2.2.2impacts/source/fields	line 386	cppcheck Problem
(cppcheck error) Possible null pointer dereference: thePatches - otherwise it is redundant to check if thePatches is null at line 368	field.cpp	/Fassetv2.2.2impacts/source/fields	line 387	cppcheck Problem
(cppcheck error) Possible null pointer dereference: thePatches - otherwise it is redundant to check if thePatches is null at line 368	field.cpp	/Fassetv2.2.2impacts/source/fields	line 388	cppcheck Problem
(cppcheck error) Possible null pointer dereference: Storage - otherwise it is redundant to check if Storage is null at line 1833	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1809	cppcheck Problem
(cppcheck error) Possible null pointer dereference: Storage - otherwise it is redundant to check if Storage is null at line 1833	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1816	cppcheck Problem
(cppcheck error) Possible null pointer dereference: soilManure - otherwise it is redundant to check if soilManure is null at line 622	patch.cpp	/Fassetv2.2.2impacts/source/fields	line 623	cppcheck Problem
(cppcheck error) Possible null pointer dereference: rootList - otherwise it is redundant to check if rootList is null at line 2086	soilProfile.cpp	/Fassetv2.2.2impacts/source/soil	line 2108	cppcheck Problem
(cppcheck error) Possible null pointer dereference: rootList - otherwise it is redundant to check if rootList is null at line 1987	soilProfile.cpp	/Fassetv2.2.2impacts/source/soil	line 1991	cppcheck Problem
(cppcheck error) Possible null pointer dereference: newCrop - otherwise it is redundant to check if newCrop is null at line 1178	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1180	cppcheck Problem
(cppcheck error) Possible null pointer dereference: newCrop - otherwise it is redundant to check if newCrop is null at line 1178	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1181	cppcheck Problem
(cppcheck error) Possible null pointer dereference: feedPlanList - otherwise it is redundant to check if feedPlanList is null at line 669	cattle.cpp	/Fassetv2.2.2impacts/source/livestock	line 675	cppcheck Problem
(cppcheck error) Possible null pointer dereference: feedPlanList - otherwise it is redundant to check if feedPlanList is null at line 669	cattle.cpp	/Fassetv2.2.2impacts/source/livestock	line 677	cppcheck Problem
(cppcheck error) Possible null pointer dereference: cropManure - otherwise it is redundant to check if cropManure is null at line 630	patch.cpp	/Fassetv2.2.2impacts/source/fields	line 631	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 67	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 69	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 71	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 89	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 91	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 111	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 113	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 115	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 138	cppcheck Problem
(cppcheck error) Null pointer dereference	pigstable.cpp	/Fassetv2.2.2impacts/source/building	line 140	cppcheck Problem
(cppcheck error) Mismatching allocation and deallocation: cName	fileAccess.cpp	/Fassetv2.2.2impacts/source/tools	line 110	cppcheck Problem
(cppcheck error) Memory leak: tagString	fieldOrderPeriod.cpp	/Fassetv2.2.2impacts/source/fields	line 61	cppcheck Problem
(cppcheck error) Memory leak: stepSize	soilProfile.cpp	/Fassetv2.2.2impacts/source/soil	line 2505	cppcheck Problem
(cppcheck error) Memory leak: place	fileAccess.cpp	/Fassetv2.2.2impacts/source/tools	line 209	cppcheck Problem
(cppcheck error) Buffer access out-of-bounds	MMSClass.cpp	/Fassetv2.2.2impacts/source/Nitroscape	line 412	cppcheck Problem
(cppcheck error) Buffer access out-of-bounds	eventControl.cpp	/Fassetv2.2.2impacts/source/event	line 336	cppcheck Problem
Suspicious semicolon	climate.cpp	/Fassetv2.2.2impacts/source/base	line 222	Code Analysis Problem
Suspicious semicolon	environData.cpp	/Fassetv2.2.2impacts/source/data	line 41	Code Analysis Problem
Suspicious semicolon	fieldOrder.cpp	/Fassetv2.2.2impacts/source/fields	line 613	Code Analysis Problem
Suggested parenthesis around expression '!aCrop->IsUndersown() && !aCrop->GetTerminated()'	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1732	Code Analysis Problem
No return, in function returning non-void	crop.cpp	/Fassetv2.2.2impacts/source/fields/crops	line 880	Code Analysis Problem
No break at the end of this case	ALFAM.cpp	/Fassetv2.2.2impacts/source/fields	line 130	Code Analysis Problem
No break at the end of this case	addedPool.cpp	/Fassetv2.2.2impacts/source/soil	line 91	Code Analysis Problem
No break at the end of this case	animalFertTech.cpp	/Fassetv2.2.2impacts/source/technics	line 99	Code Analysis Problem
No break at the end of this case	bioMatter.cpp	/Fassetv2.2.2impacts/source/soil	line 332	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 233	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 235	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 237	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 239	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 241	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 243	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 245	Code Analysis Problem
No break at the end of this case	bstime.cpp	/Fassetv2.2.2impacts/source/base	line 247	Code Analysis Problem
No break at the end of this case	ecosystem.cpp	/Fassetv2.2.2impacts/source/fields	line 1704	Code Analysis Problem
No break at the end of this case	feedItem.cpp	/Fassetv2.2.2impacts/source/products	line 664	Code Analysis Problem
No break at the end of this case	field.cpp	/Fassetv2.2.2impacts/source/fields	line 1942	Code Analysis Problem
No break at the end of this case	floorstore.cpp	/Fassetv2.2.2impacts/source/building	line 89	Code Analysis Problem
No break at the end of this case	harvestTech.cpp	/Fassetv2.2.2impacts/source/technics	line 136	Code Analysis Problem
No break at the end of this case	irrigateTech.cpp	/Fassetv2.2.2impacts/source/technics	line 84	Code Analysis Problem
No break at the end of this case	matter.cpp	/Fassetv2.2.2impacts/source/soil	line 397	Code Analysis Problem
No break at the end of this case	mineralFertTech.cpp	/Fassetv2.2.2impacts/source/technics	line 121	Code Analysis Problem
No break at the end of this case	organicMatter.cpp	/Fassetv2.2.2impacts/source/soil	line 667	Code Analysis Problem
No break at the end of this case	organicMatter.cpp	/Fassetv2.2.2impacts/source/soil	line 738	Code Analysis Problem
No break at the end of this case	organicMatter.cpp	/Fassetv2.2.2impacts/source/soil	line 794	Code Analysis Problem
No break at the end of this case	patch.cpp	/Fassetv2.2.2impacts/source/fields	line 269	Code Analysis Problem
No break at the end of this case	patchinterface.cpp	/Fassetv2.2.2impacts/source/Nitroscape	line 115	Code Analysis Problem
No break at the end of this case	patchinterface.cpp	/Fassetv2.2.2impacts/source/Nitroscape	line 154	Code Analysis Problem
No break at the end of this case	plantCareTech.cpp	/Fassetv2.2.2impacts/source/technics	line 137	Code Analysis Problem
No break at the end of this case	products.cpp	/Fassetv2.2.2impacts/source/products	line 798	Code Analysis Problem
No break at the end of this case	soilTreatTech.cpp	/Fassetv2.2.2impacts/source/technics	line 68	Code Analysis Problem
No break at the end of this case	sowTech.cpp	/Fassetv2.2.2impacts/source/technics	line 106	Code Analysis Problem
No break at the end of this case	staticBeet.cpp	/Fassetv2.2.2impacts/source/fields/staticCrops	line 344	Code Analysis Problem
No break at the end of this case	staticCrop.cpp	/Fassetv2.2.2impacts/source/fields/staticCrops	line 418	Code Analysis Problem
No break at the end of this case	staticMaize.cpp	/Fassetv2.2.2impacts/source/fields/staticCrops	line 212	Code Analysis Problem
No break at the end of this case	staticOat.cpp	/Fassetv2.2.2impacts/source/fields/staticCrops	line 282	Code Analysis Problem
No break at the end of this case	staticPotato.cpp	/Fassetv2.2.2impacts/source/fields/staticCrops	line 252	Code Analysis Problem
